File name;Organization;Name;D/r icotype;S/D icotype;A/D icotype;C/D icotype;D/r logotype;S/D logotype;A/D logotype;C/D logotype;saturation;brightness;weight;expansion;slope;connectivity
11_abu_dhabi_national_oil.png;OIL;Abu Dhabi National Oil Company;9,5;0,105;0,421;0,474;12,83;0,252;0,381;0,367;1;0,83;17,16;1;90;0
19_eni.png;OIL;Eni;78,67;0,106;0,199;0,697;14,5;0,331;0,366;0,303;0,5;0,5;15,51;2,01;90;0
maxol_logo.png;OIL;MAXOL;6,31;0;0,5;0,5;10;0,525;0,163;0,313;0,8;0,84;26,09;1,09;90;0,5
05_petrochina.png;OIL;PetroChina;8,86;0,226;0,242;0,532;9,67;0,345;0,386;0,269;0,75;0,68;24,07;1,04;81;0
star_logo.png;OIL;STAR;6,71;0,319;0,447;0,234;17,33;0,327;0,423;0,25;0,74;0,63;21,19;1,39;90;0
Qatar_Petroleum.png;OIL;Qatar Petroleum;10,67;0,141;0,406;0,453;13,28;0,369;0,343;0,288;0,71;0,6;12,97;1,34;90;0
applegreen_logo.png;OIL;Applegreen;9,18;0,103;0,414;0,483;8,53;0,375;0,414;0,211;0,71;0,59;12,52;1,51;90;0
asda_logo.png;OIL;ASDA;0;0;0;0;9,86;0,406;0,435;0,159;0,96;0,76;26,49;1,07;90;1
09_chevron.png;OIL;Chevron;7;0,5;0,5;0;10,44;0,362;0,404;0,234;0,9;0,68;19,32;1,11;90;0
Eesti_Energia.png;OIL;Eesti Energia;97;0,003;0,5;0,497;18,07;0,395;0,383;0,221;0,75;0,77;19,67;1,78;90;0
02_gazprom.png;OIL;GAZPROM;7,5;0,133;0,467;0,4;13,27;0,48;0,384;0,137;1;0,75;16,48;1,99;90;0
greatgas_logo.png;OIL;GreatGas;5,25;0,143;0,238;0,619;13,27;0,295;0,404;0,301;0,59;0,79;22,17;0,95;90;0
16_iraqi_oil_ministry.png;OIL;Iraqi Oil Ministry;6,33;0;0,368;0,632;15,33;0,225;0,355;0,42;0,76;0,75;18,44;2,07;90;0
10_kuwait_petroleum_corporation.png;OIL;Kuwait Petroleum Corporation;15;0;0,433;0,567;13,17;0,382;0,425;0,193;0,5;0,49;37,12;1,15;90;0
morris_logo.png;OIL;Morris Oil;9;0,407;0,222;0,37;7;0,44;0,132;0,429;0,89;0,58;23,37;1,77;90;0
National_Iranian_Oil_Company.png;OIL;National Iranian Oil Company;21,5;0,047;0,209;0,744;14,85;0,364;0,392;0,244;0,95;0,76;15,49;2,16;90;0
OMV_AG.png;OIL;OMV;16,33;0,449;0,469;0,082;16,33;0,408;0,429;0,163;0,67;0,47;16,26;0,96;90;0
PEMEX.png;OIL;PEMEX;59;0,322;0,432;0,246;38;0,474;0,342;0,184;0,95;0,71;25,57;0,94;90;0,5
25_petronas.png;OIL;Petronas;5,5;0,364;0,318;0,318;11,33;0,397;0,066;0,537;0,5;0,34;24,07;1,14;90;0
15_rosneft_logo.png;OIL;Rosneft;8;0,5;0,5;0;14,33;0,465;0,419;0,116;0,25;0,35;32,2;0,86;90;0
07_shell.png;OIL;Shell;37;0,351;0,5;0,149;0;0;0;0;1;1;25,86;1,99;90;
solo_logo.png;OIL;Solo Petroleum;7,2;0;0,389;0,611;4,67;0,429;0,286;0,286;0,89;0,84;12,5;1,57;90;0
tesco_logo.png;OIL;Tesco;8;0,5;0,25;0,25;12,33;0,257;0,365;0,378;1;0,71;22,21;0,82;90;0
top_logo.png;OIL;TOP;10;0;0,2;0,8;9,8;0,347;0,082;0,571;0,84;0,83;23,41;0,84;72;0
Atlantic_petroleum.png;OIL;ATLANTIC PETROLEUM;26;0,154;0,385;0,462;14,59;0,455;0,439;0,106;0,58;0,32;22,88;1,31;90;0
350org.png;NGO;350.org;14;0,5;0,143;0,357;9,5;0,253;0,032;0,716;0,88;0,74;25,18;1,38;90;0
Center_for_development_and_strategy.png;NGO;Center for Development and Strategy;6,5;0,487;0,513;0;15,93;0,382;0,389;0,229;0,67;0,62;6,63;1,4;90;0,04
Global_witness.png;NGO;Global Witness;9,29;0,323;0,4;0,277;12,84;0,271;0,32;0,41;0,5;0,46;22,51;1,8;90;0
International_Rivers.png;NGO;International Rivers;8,5;0;0,235;0,765;12,8;0,413;0,463;0,125;1;0,67;15,5;2,16;90;0
pragya.png;NGO;Pragya;11,65;0;0,082;0,919;8,72;0,276;0,093;0,632;0,51;0,62;16,99;1,17;90;0,4
African_Conservation_Foundation.png;NGO;African Conservation Foundation;16,27;0,04;0,03;0,93;9,61;0,35;0,225;0,426;0,67;0,66;9,54;2,25;90;0
American_forests.png;NGO;American Forests;5,04;0,032;0,325;0,643;15,11;0,415;0,438;0,147;0,61;0,54;10,8;1,92;90;0
AFED.png;NGO;AFED;36;0,028;0,306;0,667;13;0,462;0,462;0,077;0,58;0,71;17,44;1,19;90;0
bioversity_international.png;NGO;Bioversity International;8,43;0,034;0,305;0,661;11,71;0,364;0,382;0,254;0,48;0,4;19,98;2,06;90;0
Climate_action_network.png;NGO;Climate Action Network;7,82;0;0,58;0,42;13,19;0,36;0,41;0,23;0,56;0,67;20,83;1,84;90;0
Conservation_International.png;NGO;Conservation International;3,33;0,4;0,4;0,2;12,12;0,45;0,458;0,093;0,58;0,67;15,35;1,9;90;0
Deep_green_resistance.png;NGO;DGR;23,67;0;0,197;0,808;12,6;0,365;0,349;0,286;0,34;0,25;22,15;1,11;90;0
Earth_day_network.png;NGO;Earth Day Network;8,67;0,039;0,346;0,615;13,62;0,476;0,483;0,042;0,47;0,73;14,44;1,21;90;0
Environmental_defense_fund.png;NGO;EDF;7,6;0,105;0,368;0,526;11;0,455;0,318;0,227;0,5;0,6;9,79;1,33;90;0
FSC.png;NGO;FSC;38;0,263;0,237;0,5;17,67;0,34;0,359;0,302;0,82;0,48;24,4;0,97;90;0
Foundation_for_Environmental_Education.png;NGO;Foundation for environmental education (FEE) ;7,29;0,058;0,505;0,437;13,82;0,414;0,405;0,181;0,66;0,81;22,27;1,2;90;0
Frankfurt-Zoological-Society.png;NGO;Frankfurt Zoological Society;19,33;0,035;0,095;0,871;13,71;0,354;0,376;0,27;0,32;0,58;17,32;1,74;90;0
Friends_of_the_earth.png;NGO;Friends of the Earth;8,5;0;0;1;14,74;0,342;0,027;0,631;0,69;0,58;26,48;1,26;90;0
Green_actors_of_west_africa.png;NGO;(GAWA) Green actors of west africa;0;0;0;0;13,08;0,326;0,392;0,282;0;0,9;16,34;1,27;90;0
